,zip,beds,baths,sq__ft,price
948,95835,3,2,1358,201528
949,95624,4,2,1609,204750
950,95842,4,3,1968,205000
951,95818,2,2,1089,205000
952,95608,3,2,1296,205900
953,95758,2,2,1189,207000
954,95815,2,1,795,207973
955,95747,3,2,1371,208250
956,95660,3,1,1310,208318
957,95632,3,2,1262,209347
958,95624,4,2,1740,211500
959,95843,3,2,1517,212000
960,95828,3,2,1450,213000
961,95624,3,2,1416,216000
962,95828,3,1,888,216021
963,95610,3,2,1882,219000
964,95757,3,2,1302,219794
965,95758,3,2,1418,220000
966,95678,3,2,0,220000
967,95608,4,2,1319,220000
968,95632,4,2,1770,220000
969,95842,4,2,1627,223000
970,95834,0,0,0,224000
971,95821,3,1,1040,224000
972,95660,3,1,960,224252
973,95682,3,2,0,224500
974,95662,3,1,1456,225000
975,95757,3,2,1450,228000
976,95648,3,2,1358,229027
977,95823,4,2,1329,229500
978,95823,4,2,1715,230000
979,95758,3,2,1262,230000
980,95829,4,3,2280,232425
981,95823,3,2,1477,234000
982,95610,3,2,1216,235000
983,95758,4,2,1685,235301
984,95762,3,2,1362,235738
